model,return,sharpe,cost,n_trade,start,end
a2c_1, 120.79,0.0457, 5.21, 86, 2017-10-29, 2019-10-29
a2c_1, 120.44,0.0450, 4.71, 84, 2017-10-29, 2019-10-29
a2c_1, 120.13,0.0442, 3.94, 76, 2017-10-29, 2019-10-29
a2c_1, 120.88,0.0453, 4.45, 81, 2017-10-29, 2019-10-29
a2c_1, 120.89,0.0451, 4.23, 82, 2017-10-29, 2019-10-29
a2c_1, 121.05,0.0451, 4.37, 79, 2017-10-29, 2019-10-29
a2c_1, 121.83,0.0463, 4.28, 79, 2017-10-29, 2019-10-29
a2c_1, 122.02,0.0465, 4.25, 75, 2017-10-29, 2019-10-29
a2c_1, 120.81,0.0457, 4.58, 85, 2017-10-29, 2019-10-29
a2c_1, 120.25,0.0445, 4.12, 80, 2017-10-29, 2019-10-29
a2c_1, 120.26,0.0441, 4.80, 84, 2017-10-29, 2019-10-29
a2c_1, 120.24,0.0440, 4.32, 77, 2017-10-29, 2019-10-29
a2c_1, 121.32,0.0457, 4.77, 88, 2017-10-29, 2019-10-29
a2c_1, 121.37,0.0455, 3.95, 74, 2017-10-29, 2019-10-29
a2c_1, 122.07,0.0466, 4.94, 89, 2017-10-29, 2019-10-29
a2c_1, 120.26,0.0447, 3.70, 72, 2017-10-29, 2019-10-29
a2c_1, 120.78,0.0454, 4.97, 83, 2017-10-29, 2019-10-29
a2c_1, 119.97,0.0436, 4.80, 90, 2017-10-29, 2019-10-29
a2c_1, 120.08,0.0436, 4.65, 83, 2017-10-29, 2019-10-29
a2c_1, 120.69,0.0445, 4.22, 79, 2017-10-29, 2019-10-29
a2c_1, 121.61,0.0459, 4.56, 81, 2017-10-29, 2019-10-29
a2c_1, 121.61,0.0458, 4.24, 78, 2017-10-29, 2019-10-29
a2c_1, 120.58,0.0452, 4.33, 81, 2017-10-29, 2019-10-29
a2c_1, 120.49,0.0448, 4.99, 94, 2017-10-29, 2019-10-29
a2c_1, 120.21,0.0441, 4.20, 78, 2017-10-29, 2019-10-29
a2c_1, 120.69,0.0448, 4.38, 82, 2017-10-29, 2019-10-29
a2c_1, 120.24,0.0437, 4.98, 87, 2017-10-29, 2019-10-29
a2c_1, 121.49,0.0457, 5.33, 96, 2017-10-29, 2019-10-29
a2c_1, 121.32,0.0451, 4.40, 83, 2017-10-29, 2019-10-29
a2c_1, 120.31,0.0448, 4.68, 84, 2017-10-29, 2019-10-29
a2c_1, 121.56,0.0468, 4.28, 80, 2017-10-29, 2019-10-29
a2c_1, 119.98,0.0437, 4.37, 84, 2017-10-29, 2019-10-29
a2c_1, 120.68,0.0448, 4.79, 86, 2017-10-29, 2019-10-29
a2c_1, 120.91,0.0449, 4.65, 84, 2017-10-29, 2019-10-29
a2c_1, 121.75,0.0461, 4.66, 84, 2017-10-29, 2019-10-29
a2c_1, 120.99,0.0446, 4.50, 79, 2017-10-29, 2019-10-29
a2c_1, 119.42,0.0430, 4.12, 75, 2017-10-29, 2019-10-29
a2c_1, 119.99,0.0440, 4.60, 83, 2017-10-29, 2019-10-29
a2c_1, 120.25,0.0442, 3.82, 74, 2017-10-29, 2019-10-29
a2c_1, 120.57,0.0445, 4.64, 84, 2017-10-29, 2019-10-29
a2c_1, 121.57,0.0461, 4.58, 80, 2017-10-29, 2019-10-29
a2c_1, 121.58,0.0459, 4.91, 90, 2017-10-29, 2019-10-29
a2c_1, 120.82,0.0442, 4.66, 85, 2017-10-29, 2019-10-29
a2c_1, 120.25,0.0446, 5.05, 89, 2017-10-29, 2019-10-29
a2c_1, 121.43,0.0466, 4.52, 87, 2017-10-29, 2019-10-29
