model,return,sharpe,cost,n_trade,start,end
a2c_1, 119.82,0.0476, 1.54, 44, 2017-10-29, 2019-10-29
a2c_1, 119.59,0.0476, 0.93, 43, 2017-10-29, 2019-10-29
a2c_1, 119.32,0.0476, 0.94, 46, 2017-10-29, 2019-10-29
a2c_1, 119.08,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 118.84,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 0.93, 44, 2017-10-29, 2019-10-29
a2c_1, 119.59,0.0476, 0.93, 43, 2017-10-29, 2019-10-29
a2c_1, 119.32,0.0476, 0.94, 46, 2017-10-29, 2019-10-29
a2c_1, 119.08,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 118.84,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 0.93, 44, 2017-10-29, 2019-10-29
a2c_1, 119.59,0.0476, 0.93, 43, 2017-10-29, 2019-10-29
a2c_1, 119.32,0.0476, 0.94, 46, 2017-10-29, 2019-10-29
a2c_1, 119.08,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 118.84,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 0.93, 44, 2017-10-29, 2019-10-29
a2c_1, 119.59,0.0476, 0.93, 43, 2017-10-29, 2019-10-29
a2c_1, 119.32,0.0476, 0.94, 46, 2017-10-29, 2019-10-29
a2c_1, 119.08,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 118.84,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 0.93, 44, 2017-10-29, 2019-10-29
a2c_1, 119.59,0.0476, 0.93, 43, 2017-10-29, 2019-10-29
a2c_1, 119.32,0.0476, 0.94, 46, 2017-10-29, 2019-10-29
a2c_1, 119.08,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 118.84,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 0.93, 44, 2017-10-29, 2019-10-29
a2c_1, 119.59,0.0476, 0.93, 43, 2017-10-29, 2019-10-29
a2c_1, 119.32,0.0476, 0.94, 46, 2017-10-29, 2019-10-29
a2c_1, 119.08,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 118.84,0.0476, 0.93, 46, 2017-10-29, 2019-10-29
a2c_1, 119.82,0.0476, 0.93, 44, 2017-10-29, 2019-10-29
