,Observation,Next State,Current Weight,Action,# Rebalance,Trading Cost,Trace Error,Daily Return,Total Cost,Total Error,Total UE,Total Return,Reward
0,[0.00069181 0.00210432 0.00148391 0.00444294],[0.08       0.23999999 0.17000002 0.50999999],[0.08       0.24088982 0.17000002 0.50999999],[-5.00000018e-02  9.99999946e-02  1.66893005e-08 -5.00000095e-02],1,0.000584000066137314,0.008722975126826057,1.008722975126826,0.0005887532281110462,0.008722975126826057,0.008495354198783667,1.0081389750606888,0.999411246771889
1,[7.14573391e-05 2.66703586e-03 1.74999955e-03 4.23448238e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08012635 0.24113151 0.17233547 0.51404328],[ 0.00069147 -0.00123839 -0.00011495  0.00066187],1,7.967849859234725e-06,0.008722975126826016,1.0008898295841804,0.0005967930118323175,0.017445950253652073,0.017126319355158404,1.0090280142456727,0.9921588146736331
2,[0.00048124 0.00403866 0.0005695  0.00363358],[0.08       0.23999999 0.17000002 0.50999999],[0.08009945 0.23879399 0.17005395 0.51085898],[ 7.11230777e-05 -6.75669258e-04  1.51136558e-04  4.53409622e-04],1,3.9815321860743835e-06,0.008722975126826057,1.0076366055402475,0.000600841153243023,0.02616892538047813,0.02558856760516237,1.0167295456920107,0.9989095822720108
3,[-0.00011463  0.00450246  0.001512    0.00282315],[0.08       0.23999999 0.17000002 0.50999999],[0.08014255 0.24022357 0.17027148 0.50700287],[ 0.00048091  0.00069595 -0.00102936 -0.00014749],1,6.987839312432033e-06,0.008952236012193165,0.9998063744180774,0.0006079444706257829,0.035121161392671296,0.034090379281132344,1.0165255760993788,0.9908470350885015
4,[-0.00033176  0.00255098  0.00092468  0.00557908],[0.08       0.23999999 0.17000002 0.50999999],[0.07998358 0.23735131 0.1675818  0.51172091],[-1.14964704e-04  1.15975476e-03 -8.68647812e-05 -9.57925278e-04],1,6.8848950110110425e-06,0.00938649810174641,0.9976404631993046,0.0006149265806842864,0.044507659494417706,0.04301833769741903,1.0141200479218566,0.9882469829874997
5,[-0.0002531   0.00519063  0.0034517   0.00033374],[0.08       0.23999999 0.17000002 0.50999999],[0.08011603 0.24077663 0.1720992  0.51340876],[-0.0003321  -0.00079173 -0.00067418  0.001798  ],1,1.0648604864876681e-05,0.009229166293976437,0.996637597715698,0.000625689118906127,0.053736825788394144,0.05120183647790455,1.010699369392492,0.9873976688834998
6,[0.00039383 0.00409739 0.00059421 0.00363754],[0.08       0.23999999 0.17000002 0.50999999],[0.08020647 0.24101874 0.16924032 0.51090097],[-0.00025343  0.00184793  0.00185284 -0.00344733],1,2.1843705629343077e-05,0.008722975126826016,1.0064006218635586,0.0006479073653722198,0.06245980091522016,0.0596877343265918,1.0171463964542056,0.9976554284902664
7,[-9.66894840e-05  2.65286017e-03  2.58951432e-03  3.57729012e-03],[0.08       0.23999999 0.17000002 0.50999999],[0.08013512 0.23806603 0.16970445 0.51034952],[ 0.0003935   0.00075469 -0.00100465 -0.00014353],1,6.8203565362381914e-06,0.008916354094820764,1.00136650190041,0.0006548540989658211,0.07137615501004092,0.06826465142798666,1.0185293916368823,0.9924432010719957
8,[-0.00027486  0.00486055  0.0015978   0.00253949],[0.08       0.23999999 0.17000002 0.50999999],[0.08015409 0.24093903 0.17000002 0.51568654],[-9.70237454e-05 -6.89844946e-04  9.90651333e-04 -2.03782642e-04],1,5.892603799676101e-06,0.009272696389204263,0.9982551129495036,0.0006608453813169552,0.08064885139924519,0.07677136470119494,1.016746171100702,0.9889764252779483
9,[0.00038601 0.00402616 0.00274365 0.00156717],[0.08       0.23999999 0.17000002 0.50999999],[0.08024582 0.24147556 0.16825728 0.51042968],[-2.75194893e-04  1.51784225e-03 -1.06328190e-06 -1.24158407e-03],1,9.012640099894145e-06,0.008722975126825946,1.0067796688474764,0.0006700709919939412,0.08937182652607113,0.08495466466061052,1.023630209875391,0.9980474681099735
10,[-0.00021274  0.0019657   0.00341028  0.00355973],[0.08       0.23999999 0.17000002 0.50999999],[0.08011524 0.23634671 0.16953664 0.50177547],[ 0.00038567  0.00068345  0.00114478 -0.0022139 ],1,1.3234719266732182e-05,0.009148447060767395,1.0004083420283743,0.0006836238031544458,0.09852027358683853,0.09354686590582995,1.0240346536531362,0.9912463421564464
