,Observation,Next State,Current Weight,Action,# Rebalance,Trading Cost,Trace Error,Daily Return,Total Cost,Total Error,Total UE,Total Return,Reward
0,"[[0.38885506]
 [0.26903447]
 [0.2388602 ]
 [0.10325028]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.39022265 0.26809191 0.23780258 0.10236517],[ 9.46093299e-05 -1.18829166e-02  0.00000000e+00 -1.75859232e-04],1,5.337431363262892e-05,2.003456311556217,1.0034563115562172,5.337431363262892e-05,2.003456311556217,0.0008216786897858042,1.0034563115562172,-1.0000533743136328
1,"[[0.39081579]
 [0.26849941]
 [0.23816404]
 [0.10252076]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.48875943 0.17030841 0.23720996 0.10260213],[ 0.00164495  0.00036553 -0.00136018 -0.0006503 ],1,1.1781798749470922e-05,2.003456311556217,0.998482311127868,6.515611238209984e-05,4.006912623112434,0.0014645254028227972,1.0019333770784977,-1.0049857822270987
2,"[[0.48930749]
 [0.17049938]
 [0.23747595]
 [0.10271718]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.39050001 0.26858744 0.23903743 0.10308832],[ 9.96842176e-02 -9.90994004e-02 -6.64031469e-04  7.92143082e-05],2,0.0005837448635080979,2.003456311556217,0.9988799401647321,0.0006489009758901978,6.0103689346686515,-0.031254682767424824,1.0008111517452178,-1.005160116254993
3,"[[0.39002683]
 [0.26826199]
 [0.23874778]
 [0.10296341]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.4918879  0.16806497 0.23962651 0.10176764],[-9.88074790e-02  9.89006195e-02  2.40621935e-05 -1.17202634e-04],3,0.0005781887597070964,2.003456311556217,1.0012132063645556,0.0012270897355972942,8.013825246224869,-0.030710050661004074,1.0020253422042333,-1.0028212939513685
4,"[[0.49122621]
 [0.16783889]
 [0.23930416]
 [0.10163074]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.38966248 0.26790002 0.23843416 0.10556033],[ 0.10047318 -0.09886198 -0.00124777 -0.00036343],4,0.0005879517506574963,2.003456311556217,1.001347024579768,0.0018150414862547906,10.017281557781086,-0.06459615939026234,1.0033750949697329,-1.0026972387271065
5,"[[0.38905672]
 [0.26748355]
 [0.2380635 ]
 [0.10539623]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.49140736 0.16904565 0.23742069 0.10179696],[-0.1007262   0.10156111 -0.00180415  0.00096924],5,0.0006007981854923942,2.003456311556217,1.0015569940508213,0.0024158396717471847,12.020737869337303,-0.06405205791628313,1.0049373440233431,-1.0025001156908881
6,"[[0.49156925]
 [0.16910134]
 [0.23749891]
 [0.1018305 ]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.49156925 0.16859416 0.23793584 0.10142256],[ 0.10144328 -0.09808354 -0.00056348 -0.00279625],6,0.0005953537751588261,2.003456311556217,0.9996706662867898,0.003011193446906011,14.02419418089352,-0.09732400599521235,1.0046063842762922,-1.004380999044586
7,"[[0.49180443]
 [0.16867482]
 [0.23804967]
 [0.10147108]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.3893412  0.26986416 0.237043   0.10369479],[-1.06924750e-03  2.98664031e-04  1.10380006e-06  7.69479665e-04],6,6.273169510798279e-06,2.003456311556217,0.9995218063558475,0.0030174666164168094,16.027650492449737,-0.13082220868317487,1.0041259878884563,-1.0039407783698806
8,"[[0.38936334]
 [0.2698795 ]
 [0.23705648]
 [0.10370068]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.49136512 0.16963088 0.23769168 0.10235566],[-0.10130442  0.10072518 -0.00054966  0.0011289 ],7,0.0005972820637652254,2.003456311556217,0.9999431404518583,0.003614748680182035,18.031106804005955,-0.1295081338177796,1.0040688937385076,-1.0041104531681242
9,"[[0.49085299]
 [0.16945408]
 [0.23744394]
 [0.10224898]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.4905     0.16940001 0.23750001 0.10259998],[0.38909057 0.26838636 0.23794403 0.10227752],[ 0.10113666 -0.1004795   0.00044354 -0.0011007 ],8,0.0005956421611211423,2.003456311556217,1.0010433493294475,0.004210390841303177,20.03456311556217,-0.16261991387127442,1.0051164883455088,-1.003008604387891
10,"[[0.38998813]
 [0.26900548]
 [0.23849293]
 [0.10251345]
 [0.39019906]
 [0.26996434]
 [0.23968577]
 [0.10360714]]",[0.39050001 0.2694     0.23750001 0.10259998],[0.39130091 0.27089987 0.23609915 0.10371333],[-1.00352984e-01  9.99459158e-02  5.60672995e-05  3.51001107e-04],9,0.0005890600043560498,2.003456311556217,0.9976984737537272,0.004799450845659227,22.03801942711839,-0.16183535055845413,1.0028031863670201,-1.006346897806846
