Dates,SPX Index,SXXP Index,NKY Index,SHCOMP Index,TWSE Index,KOSPI Index,SENSEX Index,MXMU Index,MXLA Index
1990/12/19,330.2,90.77,24876.78,99.98,3827.09,697.54,1058.41,161.02,221.7
1990/12/20,330.12,89.32,24524.94,104.39,3928.9,698.04,1058.41,156.05,222.08
1990/12/21,331.75,89.83,24119.6,109.13,3979.46,708.24,1034.97,154.85,222.02
1990/12/24,329.9,89.16,24119.6,114.55,4093.61,693.76,1048.29,148.09,222.13
1990/12/25,329.9,89.6,23767.88,120.25,4093.61,693.76,1048.29,145.72,222.13
1990/12/26,330.85,89.32,23887.56,125.27,4279.33,696.11,1048.29,146.16,219.49
1990/12/27,328.29,89.45,23940.7,125.28,4530.16,696.11,1048.29,148.45,220.82
1990/12/28,328.72,89.24,23848.71,126.45,4530.16,696.11,1048.29,150.63,221.14
1990/12/31,330.22,88.91,23848.71,127.61,4530.16,696.11,1048.29,151.51,220.82
1991/1/1,330.22,88.91,23848.71,127.61,4530.16,696.11,1048.29,151.51,220.82
1991/1/2,326.45,88.19,23848.71,128.84,4530.16,696.11,999.26,151.62,218.86
1991/1/3,321.91,88.2,23848.71,130.14,4258.93,679.75,982.35,153.35,220.32
1991/1/4,321,88.78,24069.18,131.44,4367.99,697.62,982.35,157.8,226.11
1991/1/7,315.44,87.74,23736.57,132.06,4191.07,676.65,1010.77,151.06,221.81
1991/1/8,314.9,87.21,22897.84,132.68,3975.53,659.68,1010.77,148.7,218.95
1991/1/9,311.49,88.32,22969.27,133.34,4052.78,660.39,1008.52,151.72,220.87
1991/1/10,314.53,87.23,23047.36,133.97,3802.21,635.46,1008.52,143.28,217.23
1991/1/11,315.23,87.11,23241.02,134.6,3655.91,627.7,1034.3,147.54,215.2
1991/1/14,312.49,85.53,23213.23,134.67,3591.31,652.25,1017.72,147.03,208.39
1991/1/15,313.73,85.47,23213.23,134.74,3352.33,624.62,1017.72,147.87,209.73
1991/1/16,316.17,85.2,22442.7,134.24,3316.26,613.34,1017.72,147.55,208.8
1991/1/17,327.97,88.55,23446.81,134.25,3538.32,641.42,1017.72,160.81,221.18
1991/1/18,332.23,88.21,23808.3,134.24,3776.08,667.35,1017.72,165.56,221.74
1991/1/21,331.06,87.42,23352.19,134.24,4134.1,636.91,1017.72,164.81,223.43
1991/1/22,328.31,86.92,23253.65,133.72,4075.94,632.92,1017.72,157.78,224.94
