Dates,SPX Index,SHCOMP Index,SENSEX Index,MXLA Index
1990-12-19,330.2,99.98,1058.41,221.7
1990-12-20,330.12,104.39,1058.41,222.08
1990-12-21,331.75,109.13,1034.97,222.02
1990-12-24,329.9,114.55,1048.29,222.13
1990-12-25,329.9,120.25,1048.29,222.13
1990-12-26,330.85,125.27,1048.29,219.49
1990-12-27,328.29,125.28,1048.29,220.82
1990-12-28,328.72,126.45,1048.29,221.14
1990-12-31,330.22,127.61,1048.29,220.82
1991-01-01,330.22,127.61,1048.29,220.82
1991-01-02,326.45,128.84,999.26,218.86
1991-01-03,321.91,130.14,982.35,220.32
1991-01-04,321.0,131.44,982.35,226.11
1991-01-07,315.44,132.06,1010.77,221.81
1991-01-08,314.9,132.68,1010.77,218.95
1991-01-09,311.49,133.34,1008.52,220.87
1991-01-10,314.53,133.97,1008.52,217.23
1991-01-11,315.23,134.6,1034.3,215.2
1991-01-14,312.49,134.67,1017.72,208.39
1991-01-15,313.73,134.74,1017.72,209.73
1991-01-16,316.17,134.24,1017.72,208.8
1991-01-17,327.97,134.25,1017.72,221.18
1991-01-18,332.23,134.24,1017.72,221.74
1991-01-21,331.06,134.24,1017.72,223.43
1991-01-22,328.31,133.72,1017.72,224.94
1991-01-23,330.21,133.17,1001.38,224.11
1991-01-24,334.78,132.61,971.8,230.23
1991-01-25,336.07,132.05,956.11,231.69
1991-01-28,336.03,131.46,956.11,240.34
1991-01-29,335.84,130.95,956.11,241.01
1991-01-30,340.91,130.44,956.11,247.64
1991-01-31,343.93,129.97,982.32,250.45
1991-02-01,343.05,129.51,1021.95,248.47
1991-02-04,348.34,129.05,1052.04,265.82
1991-02-05,351.26,128.58,1070.29,266.36
1991-02-06,358.07,129.14,1061.87,268.81
1991-02-07,356.52,129.79,1039.45,269.59
1991-02-08,359.35,130.38,1030.23,264.31
1991-02-11,368.58,130.97,1013.5,265.24
1991-02-12,365.5,131.35,1013.5,265.41
1991-02-13,369.02,131.92,1004.94,266.31
1991-02-14,364.22,132.53,1024.23,272.19
1991-02-15,369.06,132.53,1039.6,275.74
1991-02-18,369.06,132.53,1039.6,278.11
1991-02-19,369.39,133.13,1149.89,277.55
1991-02-20,365.14,133.67,1148.33,273.67
1991-02-21,364.97,134.28,1153.29,270.71
1991-02-22,365.65,134.87,1179.33,270.76
1991-02-25,367.26,134.4,1177.87,271.38
1991-02-26,362.81,133.93,1205.2,273.02
1991-02-27,367.74,133.47,1221.55,276.42
1991-02-28,367.07,133.01,1220.41,282.9
1991-03-01,370.47,132.53,1220.41,283.09
1991-03-04,369.33,131.99,1225.44,282.21
1991-03-05,376.72,131.46,1245.93,288.96
1991-03-06,376.17,130.94,1245.93,290.9
1991-03-07,375.91,130.41,1151.05,290.08
1991-03-08,374.95,129.89,1191.05,290.95
1991-03-11,372.96,129.31,1174.72,289.65
1991-03-12,370.03,128.77,1165.9,289.7
1991-03-13,374.57,126.15,1160.08,291.21
1991-03-14,373.5,125.63,1196.48,291.3
1991-03-15,373.59,125.17,1206.75,290.31
1991-03-18,372.11,124.71,1171.08,291.88
1991-03-19,366.59,124.22,1171.08,295.38
1991-03-20,367.92,123.66,1171.92,298.34
1991-03-21,366.58,123.12,1165.2,301.54
1991-03-22,367.48,122.62,1171.59,306.02
1991-03-25,369.83,122.12,1155.46,307.49
1991-03-26,376.3,121.62,1170.59,310.58
1991-03-27,375.35,121.12,1167.97,313.28
1991-03-28,375.22,120.61,1167.97,315.44
1991-03-29,375.22,120.19,1167.97,315.44
1991-04-01,371.3,120.73,1193.61,320.77
1991-04-02,379.5,121.21,1209.23,324.24
1991-04-03,378.94,121.71,1202.9,331.44
1991-04-04,379.77,121.72,1197.12,333.64
1991-04-05,375.36,121.54,1218.12,336.35
1991-04-08,378.66,121.09,1238.7,335.35
1991-04-09,373.56,120.62,1240.53,335.82
1991-04-10,373.15,120.16,1240.53,335.38
1991-04-11,377.63,119.64,1259.28,332.58
1991-04-12,380.4,119.21,1288.02,336.05
1991-04-15,381.19,118.77,1302.5,338.18
1991-04-16,387.62,118.34,1274.97,342.68
1991-04-17,390.45,117.9,1274.97,349.37
1991-04-18,388.46,117.45,1271.62,351.0
1991-04-19,384.2,117.08,1283.94,344.0
1991-04-22,380.95,116.63,1287.27,337.27
1991-04-23,381.76,116.19,1276.94,341.14
1991-04-24,382.76,115.79,1274.56,347.6
1991-04-25,379.25,115.36,1296.54,342.4
1991-04-26,379.02,115.56,1286.59,341.03
1991-04-29,373.66,114.75,1267.46,338.16
1991-04-30,375.35,113.94,1235.11,337.13
1991-05-01,380.29,113.94,1235.11,337.23
1991-05-02,380.52,113.16,1235.11,339.28
1991-05-03,380.8,112.41,1272.09,339.79
1991-05-06,380.08,111.61,1255.42,338.33
1991-05-07,377.32,110.82,1255.04,341.63
1991-05-08,378.51,110.03,1266.34,348.56
1991-05-09,383.25,109.29,1260.29,357.27
1991-05-10,375.74,108.53,1288.35,357.58
1991-05-13,376.76,107.84,1289.13,361.34
1991-05-14,371.62,107.19,1292.83,363.96
1991-05-15,368.57,106.57,1292.83,362.72
1991-05-16,372.19,105.77,1291.5,365.87
1991-05-17,372.39,106.75,1297.69,369.91
1991-05-20,372.28,107.82,1284.25,372.22
1991-05-21,375.35,108.81,1320.54,374.2
1991-05-22,376.19,108.25,1320.54,377.16
1991-05-23,374.97,109.08,1314.89,380.27
1991-05-24,377.49,110.08,1314.89,384.36
1991-05-27,377.49,110.66,1317.9,387.64
1991-05-28,381.94,111.68,1317.9,387.88
1991-05-29,382.79,112.75,1327.33,399.0
1991-05-30,386.96,113.82,1335.48,398.67
1991-05-31,389.83,114.83,1307.34,405.58
1991-06-03,388.06,115.97,1287.95,409.5
1991-06-04,387.74,117.12,1290.07,410.68
