Dates,SPX Index,SHCOMP Index,SENSEX Index,MXLA Index,tg1,tg2,tg3,tg4
1992-11-18,422.85,407.61,2524.71,548.75,4.440892098500626e-16,0.6444294053982543,0.29321372295833853,0.06235687164340667
1992-11-19,423.61,398.95,2423.26,549.2,0.0,0.6444475967743488,0.24317917663764557,0.11237322658800569
1992-11-20,426.65,401.44,2479.56,547.5,0.0,0.6016745202786228,0.2032431176352114,0.19508236208616603
1992-11-23,425.12,410.39,2530.47,551.79,0.0,0.5727250488553712,0.2454974615492864,0.18177748959534265
1992-11-24,427.59,440.04,2546.86,555.86,1.6393136847980827e-16,0.5469899410890491,0.2827357762719999,0.1702742826389509
1992-11-25,429.19,571.63,2556.56,557.22,5.35595873207839e-16,0.5557385441150043,0.2497243902474405,0.19453706563755463
1992-11-26,429.19,562.01,2487.11,562.14,0.0,0.7196846779584677,0.22579435081868193,0.05452097122285042
1992-11-27,430.16,637.67,2486.41,565.93,0.0,0.7027651990519161,0.13762544666988932,0.1596093542781945
1992-11-30,431.35,724.6,2518.1,563.85,3.022755634368302e-16,0.7724369823050914,0.10677354260660875,0.12078947508829956
1992-12-01,430.78,716.74,2547.69,563.25,9.194034354176183e-17,0.8500265337505908,0.12278098869953459,0.02719247754987458
1992-12-02,429.89,722.2,2593.62,561.12,1.7759619839639898e-16,0.8107453736135722,0.18925462638642784,0.0
1992-12-03,429.91,808.2,2619.9,562.58,0.0,0.7895480904440547,0.21045190955594537,1.9099583022203245e-17
1992-12-04,432.06,807.02,2696.86,566.94,0.0,0.8384797454603272,0.16152025453967284,1.3877787807814457e-17
1992-12-07,435.31,793.25,2696.86,570.94,0.0,0.8351591463542252,0.16484085364577492,2.850712153532736e-17
1992-12-08,436.99,753.94,2696.86,574.56,8.553843147501775e-17,0.8229192671723177,0.17708073282768222,0.0
1992-12-09,435.65,676.45,2696.86,573.42,0.0,0.7902672270259571,0.20973277297404302,1.3986208025063007e-17
1992-12-10,434.64,625.23,2550.22,574.74,9.068705727911026e-17,0.7263068470979743,0.2736931529020255,0.0
1992-12-11,433.73,722.28,2536.87,574.5,0.0,0.69270460331476,0.10894981701447691,0.1983455796707633
1992-12-14,432.84,705.07,2469.45,578.25,0.0,0.7619196978482735,0.040934746247108716,0.19714555590461774
1992-12-15,432.57,682.24,2477.27,571.27,0.0,0.7494359419654861,0.0,0.25056405803451415
1992-12-16,431.52,685.82,2374.72,571.5,0.0,0.7361361381518703,0.008048072551363278,0.2558157892967666
1992-12-17,435.43,707.82,2400.16,573.21,2.0816681711721685e-17,0.7720584694827413,0.04032441564498472,0.18761711487227403
1992-12-18,441.28,698.13,2476.89,576.27,5.204170427930421e-17,0.7895615603225742,0.06067302073467466,0.149765418942751
1992-12-21,440.7,731.68,2542.1,579.75,0.0,0.7769402075573076,0.1491217037813674,0.07393808866132501
1992-12-22,440.31,725.78,2562.1,586.17,0.0,0.8030776461569713,0.19692235384302878,6.071532165918825e-17
1992-12-23,439.03,732.05,2571.36,596.57,7.915642158546388e-17,0.7872064639085546,0.2127935360914455,0.0
1992-12-24,439.77,758.59,2615.37,597.27,2.6861950225721593e-16,0.7760642757682079,0.2239357242317918,0.0
1992-12-25,439.77,764.28,2615.37,597.27,0.0,0.7796489318456313,0.2203510681543687,3.607767020935645e-17
1992-12-28,439.15,757.31,2615.37,606.46,0.0,0.7861344147794593,0.21386558522054067,6.091994365839816e-17
1992-12-29,437.98,768.91,2615.37,601.97,9.162699035499461e-17,0.7832592605841144,0.21674073941588554,6.178322839254057e-17
1992-12-30,438.82,767.52,2615.37,602.26,1.7520707107365752e-16,0.7929095255879739,0.20709047441202594,0.0
1992-12-31,435.71,780.39,2615.37,602.26,5.724587470723458e-17,0.8084972345295327,0.19150276547046732,0.0
1993-01-01,435.71,780.39,2615.37,602.26,0.0,0.8421017831536732,0.1578982168463267,0.0
1993-01-04,435.38,814.04,2539.67,601.79,1.1709383462843448e-16,0.860002164329094,0.13999783567090587,3.903127820947816e-17
1993-01-05,434.34,858.72,2501.52,621.24,0.0,0.9092308783275421,0.09076912167245804,2.3805788719633624e-17
1993-01-06,434.52,847.44,2447.5,624.32,0.0,0.9383185501434497,0.061681449856550295,2.912031924640035e-17
1993-01-07,430.73,868.97,2395.8,626.48,0.0,0.9292132632560971,0.07078673674390303,6.409158997789567e-18
1993-01-08,429.05,889.47,2420.67,626.72,1.6967985764009933e-16,0.9466198657911002,0.05338013420889978,0.0
1993-01-11,430.95,977.42,2420.67,626.5,0.0,0.9424398694341176,0.05756013056588255,3.229490793815644e-17
1993-01-12,431.04,987.26,2420.67,625.81,1.947231115843801e-16,0.9893047689196439,0.010695231080355971,1.8840800336382535e-17
1993-01-13,433.03,1024.05,2420.67,619.36,1.1455470689302125e-16,0.9878258996041229,0.012174100395876925,7.04404922254702e-17
1993-01-14,435.94,1086.43,2459.67,622.95,0.0,1.0,2.172741153660951e-16,2.074185282205618e-17
1993-01-15,437.15,1063.76,2525.54,621.83,1.0216991822895146e-16,1.0,0.0,0.0
