Dates,SPX Index,SXXP Index,NKY Index,SHCOMP Index,HSCEI Index,TWSE Index,KOSPI Index,SENSEX Index,MXSO Index,MXMU Index,MXLA Index
1994-12-30,459.27,125.06,19723.06,647.87,4644.88,7111.1,1027.37,3926.9,1000.0,107.74,898.56
1995-01-02,459.27,124.84,19723.06,647.87,4644.88,7124.66,1027.37,3932.09,1000.42,104.96,904.84
1995-01-03,459.11,124.89,19723.06,639.88,4436.49,7124.66,1013.57,3916.29,1001.98,104.73,869.66
1995-01-04,460.71,124.96,19684.04,653.81,4433.97,7124.66,997.01,3886.34,998.28,105.4,836.39
1995-01-05,460.34,124.18,19616.11,646.89,4412.44,7051.49,976.06,3827.41,1003.08,106.26,852.83
1995-01-06,460.68,124.71,19519.46,640.76,4306.31,6919.31,975.32,3765.62,994.53,105.6,825.56
1995-01-09,460.83,123.92,19444.92,626.0,4170.61,6869.08,998.32,3709.02,987.79,106.23,799.0
1995-01-10,461.68,123.7,19501.45,610.3,4054.5,6756.88,993.44,3623.06,962.17,105.7,731.75
1995-01-11,461.66,123.52,19548.47,613.13,3906.42,6777.24,999.08,3600.79,955.5,105.39,760.07
1995-01-12,461.64,123.61,19410.01,602.12,3896.78,6609.5,1000.77,3574.9,926.39,104.79,809.74
1995-01-13,465.97,123.79,19331.17,597.84,3753.01,6582.4,976.59,3603.66,908.9,103.97,859.19
1995-01-16,469.38,124.88,19331.17,588.81,3830.08,6536.65,957.88,3653.17,925.34,101.99,850.89
1995-01-17,470.05,124.42,19241.32,587.94,4160.54,6515.79,956.96,3636.3,938.64,101.13,868.69
1995-01-18,469.72,124.43,19223.31,593.64,4184.42,6623.52,966.66,3654.35,926.91,101.08,847.62
1995-01-19,466.95,124.01,19075.74,571.72,4062.05,6598.02,974.9,3656.08,918.98,100.44,813.85
1995-01-20,464.78,122.88,18840.22,571.24,3983.5,6372.01,973.06,3600.53,897.0,100.57,808.29
1995-01-23,465.81,121.52,17785.49,553.44,3859.35,6431.99,935.38,3483.93,855.96,98.91,792.9
1995-01-24,465.86,121.85,18060.73,547.57,3828.13,6167.79,916.83,3411.04,849.54,98.32,799.97
1995-01-25,467.44,122.01,18159.48,555.77,3859.48,6299.62,916.85,3450.68,870.79,97.77,798.76
1995-01-26,468.32,122.87,18070.84,553.11,3914.19,6307.85,927.85,3450.68,878.65,97.74,808.03
1995-01-27,470.39,122.97,18104.35,562.59,3909.9,6307.85,907.05,3505.81,886.23,98.33,788.49
1995-01-30,468.51,122.36,18752.88,562.59,3888.92,6307.85,925.56,3575.79,892.71,97.53,742.59
1995-01-31,470.42,121.92,18649.82,562.59,3888.92,6307.85,925.56,3618.54,890.01,97.59,799.39
1995-02-01,470.4,123.32,18739.47,562.59,3888.92,6307.85,925.56,3569.66,896.34,97.73,816.41
1995-02-02,472.78,123.55,18604.3,562.59,3888.92,6307.85,943.35,3599.29,900.95,98.99,804.13
1995-02-03,478.64,124.27,18538.97,562.59,3898.21,6307.85,940.64,3638.13,929.95,98.29,812.87
1995-02-06,481.14,125.15,18667.23,533.72,4097.31,6417.28,945.27,3590.24,965.71,97.96,798.61
1995-02-07,480.81,125.16,18500.55,532.49,4179.6,6531.82,942.52,3581.47,964.7,98.19,782.96
1995-02-08,481.19,124.75,18290.25,533.75,4379.17,6526.74,958.35,3548.27,959.66,97.89,771.48
1995-02-09,480.19,125.76,18099.55,553.36,4450.74,6543.42,963.77,3555.57,959.95,98.82,747.89
1995-02-10,481.46,126.01,18291.35,541.38,4408.09,6554.78,955.31,3522.14,962.11,99.0,746.24
1995-02-13,481.65,125.36,18313.86,548.84,4566.94,6498.21,957.1,3506.04,963.55,100.23,733.37
1995-02-14,482.55,125.08,18138.47,548.11,4535.8,6504.59,941.49,3515.48,960.53,101.3,717.49
1995-02-15,484.54,125.09,17991.0,542.84,4603.41,6576.25,926.09,3485.14,966.83,101.82,688.28
1995-02-16,485.22,123.87,17780.59,538.37,4553.04,6646.55,923.49,3409.69,975.77,101.83,663.23
1995-02-17,481.97,123.48,18020.51,533.76,4532.5,6646.25,910.22,3383.89,975.0,102.35,686.19
1995-02-20,481.97,122.27,17956.48,534.96,4313.56,6612.97,929.23,3356.73,970.8,102.88,685.74
1995-02-21,482.74,122.63,18096.25,541.14,4449.17,6633.03,917.75,3280.83,961.74,102.85,664.5
1995-02-22,485.07,122.34,18106.65,594.64,4326.67,6603.88,919.48,3233.31,945.15,103.12,663.31
1995-02-23,486.91,123.3,17830.02,589.13,4357.24,6552.95,907.86,3371.23,950.84,103.25,693.07
1995-02-24,488.11,122.88,17472.94,558.43,4461.46,6596.07,892.89,3454.89,964.73,103.68,690.32
1995-02-27,483.81,122.09,16808.7,561.27,4411.91,6388.57,894.6,3454.89,947.48,103.94,675.89
1995-02-28,487.39,121.82,17053.43,549.26,4460.85,6509.33,885.69,3421.47,966.99,102.87,681.87
1995-03-01,485.65,122.72,16618.71,556.96,4399.8,6337.83,885.69,3459.81,965.01,103.36,675.98
1995-03-02,485.13,122.9,16963.18,560.85,4413.35,6450.39,903.42,3508.33,964.07,103.69,644.29
1995-03-03,485.42,122.25,17039.62,577.22,4354.25,6516.83,907.96,3528.36,961.27,105.04,634.99
1995-03-06,485.63,120.82,17040.72,616.3,4340.83,6530.74,933.44,3540.76,946.66,107.31,609.85
1995-03-07,482.12,120.11,16955.28,632.96,4286.94,6480.76,936.13,3498.42,945.45,107.1,579.78
1995-03-08,483.14,119.06,16621.31,620.81,4157.71,6426.07,940.08,3480.99,926.7,107.77,546.06
1995-03-09,483.16,118.38,16763.08,605.59,4144.56,6388.36,943.75,3473.06,935.63,107.16,518.47
1995-03-10,489.57,119.0,16358.38,586.29,4051.37,6453.52,944.37,3515.19,918.59,106.75,593.53
1995-03-13,490.05,118.53,16477.64,586.23,4124.19,6503.18,953.16,3410.11,915.45,106.85,601.93
1995-03-14,492.89,119.7,16245.82,588.24,4122.37,6480.31,956.65,3465.13,905.62,106.41,640.32
1995-03-15,491.88,119.35,16666.83,572.6,4218.2,6555.19,953.71,3399.19,912.9,106.28,626.25
1995-03-16,495.41,120.0,16355.68,579.88,4176.56,6564.66,954.16,3367.65,912.39,106.25,637.45
1995-03-17,495.52,120.75,16251.23,593.52,4186.89,6594.26,952.25,3367.65,930.18,108.28,626.98
1995-03-20,496.15,121.23,16129.96,585.45,4139.95,6541.58,956.87,3367.65,936.9,109.06,613.51
1995-03-21,495.07,121.51,16129.96,591.95,4155.63,6524.87,946.07,3367.65,932.62,109.49,625.48
1995-03-22,495.67,121.59,15904.85,613.7,4154.11,6479.01,941.77,3367.65,935.28,110.37,625.57
1995-03-23,495.95,120.4,15813.41,611.13,4151.42,6441.85,947.27,3293.77,933.47,110.37,637.25
1995-03-24,500.97,121.3,15749.77,611.77,4231.4,6433.44,953.62,3280.1,926.95,111.1,671.52
