Dates,SPX Index,SXXP Index,NKY Index,SHCOMP Index,HSCEI Index,TWSE Index,KOSPI Index,SENSEX Index,MXSO Index,MXMU Index,MXLA Index,G0Q0 Index,G0BC Index,H0A0 Index,IP00 Index,DXY Index,EURUSD curncy,JPYUSD curncy,HKDUSD CURNCY,TWDUSD CURNCY,KRWUSD CURNCY,INRUSD CURNCY,SGDUSD CURNCY,THBUSD CURNCY,MYRUSD CURNCY,IDRUSD CURNCY,PHPUSD CURNCY,RUBUSd CURNCY,TRYUSD CURNCY,BRLUSD CURNCY,MXNUSD CURNCY
2000-01-04,1399.42,362.7,19002.86,1406.371,2082.94,8756.55,1059.04,5491.01,500.85,262.66,1050.57,691.456,116.55,363.043,256.011,100.41,1.0296,0.009685,0.12858,0.03271,0.0891,0.02299,0.6039,0.02686,0.2632,0.14035,0.02514,0.03636,1.86324,0.5403,0.10448
2000-01-05,1402.11,353.74,18542.55,1409.682,1956.58,8849.87,986.31,5357.0,471.54,254.64,1064.78,688.338,116.13,362.306,256.462,100.38,1.0321,0.009604,0.12857,0.0325,0.08814,0.02299,0.6034,0.02695,0.2632,0.13995,0.02491,0.03669,1.86322,0.5438,0.10521
2000-01-06,1403.45,352.21,18168.27,1463.942,1904.21,8922.03,960.79,5421.53,459.33,252.57,1057.7,690.609,115.976,362.421,255.387,100.48,1.0328,0.009503,0.12857,0.03241,0.08724,0.02297,0.6008,0.0266,0.2632,0.1384,0.02466,0.03642,1.86532,0.543,0.10438
2000-01-07,1441.47,359.75,18193.41,1516.604,2004.52,8845.47,948.65,5414.48,471.49,251.83,1089.29,692.398,115.914,362.458,257.078,100.72,1.0295,0.009493,0.12858,0.03242,0.08791,0.02296,0.6019,0.02683,0.2632,0.13956,0.02476,0.03642,1.85357,0.5474,0.1055
2000-01-10,1457.6,365.39,18193.41,1545.112,2061.01,9102.6,987.24,5518.39,476.78,253.57,1128.88,691.116,115.96,362.725,257.01,100.99,1.0256,0.009514,0.12856,0.03244,0.08824,0.02297,0.6019,0.02684,0.2632,0.13937,0.02483,0.03552,1.84809,0.551,0.10582
2000-01-11,1438.56,362.93,18850.92,1479.781,1996.31,8927.03,981.33,5296.3,469.52,250.09,1103.24,688.113,115.637,362.404,255.289,100.56,1.0336,0.009437,0.12856,0.03245,0.08726,0.02296,0.5992,0.02654,0.2632,0.13708,0.02459,0.03496,1.8504800000000001,0.5487,0.10512
2000-01-12,1432.25,362.92,18677.42,1438.02,1972.95,9144.65,955.01,5491.2,473.36,252.49,1102.51,687.366,115.437,362.292,254.338,100.62,1.0309,0.009451,0.12856,0.03244,0.08739,0.02296,0.599,0.02665,0.2632,0.13821,0.02461,0.03478,1.8501400000000001,0.5471,0.10482
2000-01-13,1449.68,364.83,18833.29,1424.442,1928.83,9107.19,951.05,5444.82,467.57,259.33,1141.97,690.761,115.642,362.354,255.747,101.0,1.0258,0.009423,0.12856,0.03243,0.08808,0.02296,0.5992,0.0267,0.2632,0.1384,0.02463,0.03489,1.84349,0.5515,0.10553
2000-01-14,1465.15,373.63,18956.55,1408.848,1897.91,9023.24,948.03,5471.27,470.67,265.66,1166.37,689.329,115.235,362.33,255.076,101.72,1.0122,0.009446,0.12856,0.03189,0.08946,0.02297,0.5971,0.0267,0.2632,0.14039,0.02464,0.03489,1.8205,0.5543,0.1054
2000-01-17,1465.15,376.21,19437.23,1433.33,1877.81,9315.43,983.27,5404.07,467.08,263.8,1184.6,689.698,115.437,362.593,254.93,101.77,1.0122,0.009534,0.12859,0.03241,0.08924,0.02297,0.597,0.0267,0.2632,0.13745,0.02472,0.03488,1.82842,0.5573,0.1046
